
Case 5: Low R, High C (6V, 330Ω, 1000µF)
Circuit Parameters:
Source Voltage (V_s) = 6.00 V
Resistance (R) = 330.00 Ω
0.5400          4.8611          4.8319          3.4513          0.6041          
0.5500          4.8956          4.8667          3.3467          0.5925          
0.5600          4.9290          4.9006          3.2453          0.5811          
0.5700          4.9615          4.9334          3.1470          0.5699          
0.5800          4.9930          4.9652          3.0516          0.5588          
0.5900          5.0235          4.9961          2.9591          0.5480          
0.6000          5.0531          5.0261          2.8695          0.5373          
0.6100          5.0818          5.0551          2.7825          0.5267          
0.6200          5.1096          5.0833          2.6982          0.5164          
0.6300          5.1366          5.1107          2.6164          0.5062          
0.6400          5.1627          5.1373          2.5371          0.4962          
0.6500          5.1881          5.1630          2.4603          0.4864          
0.6600          5.2127          5.1880          2.3857          0.4767          
0.6700          5.2366          5.2122          2.3134          0.4672          
0.6800          5.2597          5.2357          2.2433          0.4578          
0.6900          5.2821          5.2586          2.1753          0.4486          
0.7000          5.3039          5.2807          2.1094          0.4396          
0.7100          5.3250          5.3022          2.0455          0.4307          
0.7200          5.3454          5.3230          1.9835          0.4220          
0.7300          5.3653          5.3432          1.9234          0.4134          
0.7400          5.3845          5.3628          1.8651          0.4050          
0.7500          5.4032          5.3818          1.8086          0.3967          
0.7600          5.4213          5.4003          1.7538          0.3886          
0.7700          5.4388          5.4182          1.7006          0.3806          
0.7800          5.4558          5.4355          1.6491          0.3727          
0.7900          5.4723          5.4524          1.5991          0.3650          
0.8000          5.4883          5.4687          1.5507          0.3575          
0.8100          5.5038          5.4846          1.5037          0.3500          
0.8200          5.5188          5.5000          1.4581          0.3427          
0.8300          5.5334          5.5149          1.4139          0.3356          
0.8400          5.5475          5.5294          1.3711          0.3285          
0.8500          5.5613          5.5434          1.3295          0.3216          
0.8600          5.5745          5.5571          1.2892          0.3149          
0.8700          5.5874          5.5703          1.2502          0.3082          
0.8800          5.5999          5.5831          1.2123          0.3017          
0.8900          5.6121          5.5955          1.1756          0.2953          
0.9000          5.6238          5.6076          1.1399          0.2890          
0.9100          5.6352          5.6193          1.1054          0.2828          
0.9200          5.6463          5.6307          1.0719          0.2768          
0.9300          5.6570          5.6417          1.0394          0.2708          
0.9400          5.6674          5.6524          1.0079          0.2650          
0.9500          5.6775          5.6628          0.9774          0.2593          
0.9600          5.6872          5.6728          0.9478          0.2537          
0.9700          5.6967          5.6826          0.9190          0.2482          
0.9800          5.7059          5.6921          0.8912          0.2428          
0.9900          5.7148          5.7013          0.8642          0.2375          
1.0000          5.7235          5.7102          0.8380          0.2324          

Simulation Summary:
--------------------------------------------------------------------------------
Maximum Error: 1.5228%
Average Error: 0.7253%
Case execution time: 0.008000 seconds
