
Case 1: Standard (5V, 1kΩ, 100µF)
Circuit Parameters:
Source Voltage (V_s) = 5.00 V
Resistance (R) = 1000.00 Ω
0.9300          4.9997          4.9995          0.0028          0.0036          
0.9400          4.9998          4.9996          0.0025          0.0033          
0.9500          4.9998          4.9996          0.0022          0.0030          
0.9600          4.9998          4.9997          0.0020          0.0027          
0.9700          4.9998          4.9997          0.0018          0.0025          
0.9800          4.9998          4.9997          0.0016          0.0023          
0.9900          4.9999          4.9997          0.0015          0.0021          
1.0000          4.9999          4.9998          0.0013          0.0019          

Simulation Summary:
--------------------------------------------------------------------------------
Maximum Error: 5.0833%
Average Error: 0.8221%
Case execution time: 0.009000 seconds
