
Case 3: Low Voltage (3.3V, 470Ω, 470µF)
Circuit Parameters:
Source Voltage (V_s) = 3.30 V
Resistance (R) = 470.00 Ω
0.3900          2.7582          2.7354          2.4529          0.8334          
0.4000          2.7827          2.7604          2.3418          0.8091          
0.4100          2.8061          2.7842          2.2358          0.7854          
0.4200          2.8285          2.8071          2.1346          0.7623          
0.4300          2.8498          2.8289          2.0380          0.7398          
0.4400          2.8702          2.8497          1.9457          0.7178          
0.4500          2.8897          2.8697          1.8576          0.6964          
0.4600          2.9082          2.8887          1.7735          0.6755          
0.4700          2.9260          2.9069          1.6932          0.6552          
0.4800          2.9429          2.9243          1.6166          0.6353          
0.4900          2.9591          2.9409          1.5434          0.6161          
0.5000          2.9745          2.9568          1.4735          0.5973          
0.5100          2.9892          2.9720          1.4068          0.5790          
0.5200          3.0033          2.9865          1.3431          0.5612          
0.5300          3.0167          3.0004          1.2823          0.5438          
0.5400          3.0296          3.0137          1.2243          0.5269          
0.5500          3.0418          3.0263          1.1689          0.5105          
0.5600          3.0535          3.0385          1.1160          0.4946          
0.5700          3.0646          3.0500          1.0654          0.4790          
0.5800          3.0753          3.0611          1.0172          0.4639          
0.5900          3.0855          3.0717          0.9712          0.4493          
0.6000          3.0952          3.0818          0.9272          0.4350          
0.6100          3.1045          3.0914          0.8852          0.4211          
0.6200          3.1133          3.1007          0.8451          0.4077          
0.6300          3.1218          3.1095          0.8069          0.3946          
0.6400          3.1298          3.1179          0.7704          0.3819          
0.6500          3.1375          3.1260          0.7355          0.3695          
0.6600          3.1449          3.1337          0.7022          0.3575          
0.6700          3.1519          3.1410          0.6704          0.3459          
0.6800          3.1586          3.1481          0.6401          0.3346          
0.6900          3.1650          3.1548          0.6111          0.3236          
0.7000          3.1711          3.1612          0.5834          0.3130          
0.7100          3.1770          3.1674          0.5570          0.3027          
0.7200          3.1825          3.1732          0.5318          0.2926          
0.7300          3.1878          3.1789          0.5077          0.2829          
0.7400          3.1929          3.1842          0.4847          0.2735          
0.7500          3.1978          3.1893          0.4628          0.2644          
0.7600          3.2024          3.1942          0.4418          0.2555          
0.7700          3.2068          3.1989          0.4218          0.2469          
0.7800          3.2110          3.2034          0.4027          0.2386          
0.7900          3.2151          3.2077          0.3845          0.2305          
0.8000          3.2189          3.2118          0.3671          0.2227          
0.8100          3.2226          3.2157          0.3505          0.2151          
0.8200          3.2261          3.2194          0.3346          0.2078          
0.8300          3.2294          3.2230          0.3195          0.2007          
0.8400          3.2326          3.2264          0.3050          0.1938          
0.8500          3.2357          3.2296          0.2912          0.1872          
0.8600          3.2386          3.2327          0.2780          0.1807          
0.8700          3.2414          3.2357          0.2654          0.1745          
0.8800          3.2440          3.2386          0.2534          0.1684          
0.8900          3.2466          3.2413          0.2419          0.1626          
0.9000          3.2490          3.2439          0.2310          0.1569          
0.9100          3.2513          3.2464          0.2205          0.1515          
0.9200          3.2535          3.2487          0.2106          0.1462          
0.9300          3.2556          3.2510          0.2010          0.1410          
0.9400          3.2576          3.2532          0.1919          0.1361          
0.9500          3.2595          3.2553          0.1832          0.1313          
0.9600          3.2614          3.2572          0.1749          0.1267          
0.9700          3.2631          3.2591          0.1670          0.1222          
0.9800          3.2648          3.2609          0.1595          0.1179          
0.9900          3.2664          3.2627          0.1522          0.1137          
1.0000          3.2679          3.2643          0.1453          0.1096          

Simulation Summary:
--------------------------------------------------------------------------------
Maximum Error: 2.2805%
Average Error: 0.7939%
Case execution time: 0.009000 seconds
