
Case 1: Standard (5V, 1kΩ, 100µF)
Time(s)	Voltage(V)	dV/dt(V/s)	Error(%)
0.1100	2.4623	19.7060	0.9319
0.1200	2.6594	19.2989	0.9218
0.1300	2.8523	18.9001	0.9118
0.1400	3.0413	18.5096	0.9019
0.1500	3.2264	18.1272	0.8921
0.1600	3.4077	17.7527	0.8824
0.1700	3.5852	17.3859	0.8727
0.1800	3.7591	17.0267	0.8631
0.1900	3.9294	16.6749	0.8536
0.2000	4.0961	16.3303	0.8441
0.2100	4.2594	15.9929	0.8347
0.2200	4.4193	15.6625	0.8254
0.2300	4.5760	15.3389	0.8162
0.2400	4.7294	15.0220	0.8071
0.2500	4.8796	14.7116	0.7980
0.2600	5.0267	14.4077	0.7890
0.2700	5.1708	14.1100	0.7801
0.2800	5.3119	13.8184	0.7712
0.2900	5.4501	13.5329	0.7624
0.3000	5.5854	13.2533	0.7537
0.3100	5.7179	12.9795	0.7451
0.3200	5.8477	12.7113	0.7366
0.3300	5.9748	12.4487	0.7281
0.3400	6.0993	12.1915	0.7197
0.3500	6.2212	11.9396	0.7113
0.3600	6.3406	11.6929	0.7031
0.3700	6.4576	11.4513	0.6949
0.3800	6.5721	11.2147	0.6867
0.3900	6.6842	10.9830	0.6787
0.4000	6.7940	10.7561	0.6707
0.4100	6.9016	10.5339	0.6628
0.4200	7.0069	10.3162	0.6550
0.4300	7.1101	10.1031	0.6472
0.4400	7.2111	9.8943	0.6395
0.4500	7.3101	9.6899	0.6319
0.4600	7.4070	9.4897	0.6243
0.4700	7.5019	9.2936	0.6168
0.4800	7.5948	9.1016	0.6094
0.4900	7.6858	8.9136	0.6020
0.5000	7.7750	8.7294	0.5948
0.5100	7.8623	8.5491	0.5875
0.5200	7.9478	8.3724	0.5804
0.5300	8.0315	8.1994	0.5733
0.5400	8.1135	8.0300	0.5663
0.5500	8.1938	7.8641	0.5594
0.5600	8.2724	7.7016	0.5525
0.5700	8.3494	7.5425	0.5457
0.5800	8.4249	7.3867	0.5389
0.5900	8.4987	7.2341	0.5323
0.6000	8.5711	7.0846	0.5256
0.6100	8.6419	6.9382	0.5191
0.6200	8.7113	6.7949	0.5126
0.6300	8.7792	6.6545	0.5062
0.6400	8.8458	6.5170	0.4998
0.6500	8.9109	6.3823	0.4935
0.6600	8.9748	6.2505	0.4873
0.6700	9.0373	6.1213	0.4811
0.6800	9.0985	5.9949	0.4750
0.6900	9.1584	5.8710	0.4690
0.7000	9.2171	5.7497	0.4630
0.7100	9.2746	5.6309	0.4571
0.7200	9.3310	5.5146	0.4513
0.7300	9.3861	5.4006	0.4455
0.7400	9.4401	5.2890	0.4397
0.7500	9.4930	5.1798	0.4340
0.7600	9.5448	5.0727	0.4284
0.7700	9.5955	4.9679	0.4229
0.7800	9.6452	4.8653	0.4174
0.7900	9.6939	4.7648	0.4119
0.8000	9.7415	4.6663	0.4066
0.8100	9.7882	4.5699	0.4012
0.8200	9.8339	4.4755	0.3960
0.8300	9.8786	4.3830	0.3908
0.8400	9.9224	4.2925	0.3856
0.8500	9.9654	4.2038	0.3805
0.8600	10.0074	4.1169	0.3755
0.8700	10.0486	4.0319	0.3705
0.8800	10.0889	3.9486	0.3656
0.8900	10.1284	3.8670	0.3607
0.9000	10.1671	3.7871	0.3559
0.9100	10.2049	3.7088	0.3511
0.9200	10.2420	3.6322	0.3464
0.9300	10.2783	3.5572	0.3417
0.9400	10.3139	3.4837	0.3371
0.9500	10.3487	3.4117	0.3326
0.9600	10.3829	3.3412	0.3281
0.9700	10.4163	3.2722	0.3236
0.9800	10.4490	3.2046	0.3192
0.9900	10.4810	3.1383	0.3149
1.0000	10.5124	3.0735	0.3106

Case 3: Low Voltage (3.3V, 470Ω, 470µF)
Time(s)	Voltage(V)	dV/dt(V/s)	Error(%)
0.0100	0.1494	14.2626	2.2805
0.0200	0.2920	13.6170	2.2278
0.0300	0.4282	13.0005	2.1758
0.0400	0.5582	12.4120	2.1247
0.0500	0.6823	11.8501	2.0745
0.0600	0.8008	11.3137	2.0251
0.0700	0.9139	10.8015	1.9765
0.0800	1.0220	10.3125	1.9288
0.0900	1.1251	9.8457	1.8819
0.1000	1.2235	9.4000	1.8359
0.1100	1.3175	8.9744	1.7906
0.1200	1.4073	8.5682	1.7462
0.1300	1.4930	8.1803	1.7026
0.1400	1.5748	7.8100	1.6598
0.1500	1.6529	7.4564	1.6178
0.1600	1.7274	7.1189	1.5766
0.1700	1.7986	6.7966	1.5363
0.1800	1.8666	6.4889	1.4966
0.1900	1.9315	6.1952	1.4578
0.2000	1.9934	5.9147	1.4198
0.2100	2.0526	5.6470	1.3825
0.2200	2.1091	5.3913	1.3460
0.2300	2.1630	5.1473	1.3102
0.2400	2.2144	4.9143	1.2752
0.2500	2.2636	4.6918	1.2409
0.2600	2.3105	4.4794	1.2073
0.2700	2.3553	4.2766	1.1745
0.2800	2.3981	4.0830	1.1423
0.2900	2.4389	3.8982	1.1109
0.3000	2.4779	3.7217	1.0802
0.3100	2.5151	3.5532	1.0501
0.3200	2.5506	3.3924	1.0207
0.3300	2.5845	3.2388	0.9920
0.3400	2.6169	3.0922	0.9640
0.3500	2.6479	2.9522	0.9366
0.3600	2.6774	2.8186	0.9099
0.3700	2.7056	2.6910	0.8837
0.3800	2.7325	2.5692	0.8583
0.3900	2.7582	2.4529	0.8334
0.4000	2.7827	2.3418	0.8091
0.4100	2.8061	2.2358	0.7854
0.4200	2.8285	2.1346	0.7623
0.4300	2.8498	2.0380	0.7398
0.4400	2.8702	1.9457	0.7178
0.4500	2.8897	1.8576	0.6964
0.4600	2.9082	1.7735	0.6755
0.4700	2.9260	1.6932	0.6552
0.4800	2.9429	1.6166	0.6353
0.4900	2.9591	1.5434	0.6161
0.5000	2.9745	1.4735	0.5973
0.5100	2.9892	1.4068	0.5790
0.5200	3.0033	1.3431	0.5612
0.5300	3.0167	1.2823	0.5438
0.5400	3.0296	1.2243	0.5269
0.5500	3.0418	1.1689	0.5105
0.5600	3.0535	1.1160	0.4946
0.5700	3.0646	1.0654	0.4790
0.5800	3.0753	1.0172	0.4639
0.5900	3.0855	0.9712	0.4493
0.6000	3.0952	0.9272	0.4350
0.6100	3.1045	0.8852	0.4211
0.6200	3.1133	0.8451	0.4077
0.6300	3.1218	0.8069	0.3946
0.6400	3.1298	0.7704	0.3819
0.6500	3.1375	0.7355	0.3695
0.6600	3.1449	0.7022	0.3575
0.6700	3.1519	0.6704	0.3459
0.6800	3.1586	0.6401	0.3346
0.6900	3.1650	0.6111	0.3236
0.7000	3.1711	0.5834	0.3130
0.7100	3.1770	0.5570	0.3027
0.7200	3.1825	0.5318	0.2926
0.7300	3.1878	0.5077	0.2829
0.7400	3.1929	0.4847	0.2735
0.7500	3.1978	0.4628	0.2644
0.7600	3.2024	0.4418	0.2555
0.7700	3.2068	0.4218	0.2469
0.7800	3.2110	0.4027	0.2386
0.7900	3.2151	0.3845	0.2305
0.8000	3.2189	0.3671	0.2227
0.8100	3.2226	0.3505	0.2151
0.8200	3.2261	0.3346	0.2078
0.8300	3.2294	0.3195	0.2007
0.8400	3.2326	0.3050	0.1938
0.8500	3.2357	0.2912	0.1872
0.8600	3.2386	0.2780	0.1807
0.8700	3.2414	0.2654	0.1745
0.8800	3.2440	0.2534	0.1684
0.8900	3.2466	0.2419	0.1626
0.9000	3.2490	0.2310	0.1569
0.9100	3.2513	0.2205	0.1515
0.9200	3.2535	0.2106	0.1462
0.9300	3.2556	0.2010	0.1410
0.9400	3.2576	0.1919	0.1361
0.9500	3.2595	0.1832	0.1313
0.9600	3.2614	0.1749	0.1267
0.9700	3.2631	0.1670	0.1222
0.9800	3.2648	0.1595	0.1179
0.9900	3.2664	0.1522	0.1137
1.0000	3.2679	0.1453	0.1096

Case 4: High R, Low C (9V, 4.7kΩ, 33µF)
Time(s)	Voltage(V)	dV/dt(V/s)	Error(%)
0.0100	0.5803	54.2858	3.2584
0.0200	1.1231	50.7858	3.1499
0.0300	1.6310	47.5114	3.0441
0.0400	2.1061	44.4481	2.9407
0.0500	2.5506	41.5823	2.8399
0.0600	2.9664	38.9013	2.7417
0.0700	3.3554	36.3932	2.6459
0.0800	3.7193	34.0467	2.5525
0.0900	4.0598	31.8516	2.4617
0.1000	4.3783	29.7980	2.3732
0.1100	4.6763	27.8768	2.2872
0.1200	4.9551	26.0794	2.2035
0.1300	5.2159	24.3980	2.1222
0.1400	5.4599	22.8249	2.0432
0.1500	5.6881	21.3533	1.9665
0.1600	5.9016	19.9766	1.8920
0.1700	6.1014	18.6886	1.8198
0.1800	6.2883	17.4836	1.7497
0.1900	6.4631	16.3564	1.6818
0.2000	6.6267	15.3018	1.6160
0.2100	6.7797	14.3152	1.5523
0.2200	6.9229	13.3923	1.4907
0.2300	7.0568	12.5288	1.4310
0.2400	7.1821	11.7210	1.3733
0.2500	7.2993	10.9653	1.3175
0.2600	7.4089	10.2583	1.2636
0.2700	7.5115	9.5969	1.2116
0.2800	7.6075	8.9782	1.1613
0.2900	7.6973	8.3993	1.1128
0.3000	7.7813	7.8578	1.0660
0.3100	7.8598	7.3511	1.0209
0.3200	7.9333	6.8772	0.9774
0.3300	8.0021	6.4338	0.9355
0.3400	8.0665	6.0190	0.8951
0.3500	8.1266	5.6309	0.8562
0.3600	8.1830	5.2678	0.8189
0.3700	8.2356	4.9282	0.7829
0.3800	8.2849	4.6105	0.7483
0.3900	8.3310	4.3132	0.7150
0.4000	8.3742	4.0351	0.6831
0.4100	8.4145	3.7749	0.6524
0.4200	8.4523	3.5316	0.6229
0.4300	8.4876	3.3039	0.5947
0.4400	8.5206	3.0908	0.5675
0.4500	8.5515	2.8916	0.5415
0.4600	8.5804	2.7051	0.5165
0.4700	8.6075	2.5307	0.4926
0.4800	8.6328	2.3676	0.4697
0.4900	8.6565	2.2149	0.4477
0.5000	8.6786	2.0721	0.4267
0.5100	8.6993	1.9385	0.4066
0.5200	8.7187	1.8135	0.3873
0.5300	8.7369	1.6966	0.3689
0.5400	8.7538	1.5872	0.3513
0.5500	8.7697	1.4849	0.3344
0.5600	8.7845	1.3891	0.3183
0.5700	8.7984	1.2996	0.3029
0.5800	8.8114	1.2158	0.2882
0.5900	8.8236	1.1374	0.2741
0.6000	8.8350	1.0641	0.2607
0.6100	8.8456	0.9955	0.2479
0.6200	8.8556	0.9313	0.2357
0.6300	8.8649	0.8712	0.2241
0.6400	8.8736	0.8151	0.2130
0.6500	8.8817	0.7625	0.2024
0.6600	8.8894	0.7133	0.1922
0.6700	8.8965	0.6674	0.1826
0.6800	8.9032	0.6243	0.1734
0.6900	8.9094	0.5841	0.1647
0.7000	8.9153	0.5464	0.1564
0.7100	8.9207	0.5112	0.1484
0.7200	8.9258	0.4782	0.1409
0.7300	8.9306	0.4474	0.1337
0.7400	8.9351	0.4185	0.1269
0.7500	8.9393	0.3916	0.1204
0.7600	8.9432	0.3663	0.1142
0.7700	8.9468	0.3427	0.1083
0.7800	8.9503	0.3206	0.1027
0.7900	8.9535	0.2999	0.0974
0.8000	8.9565	0.2806	0.0923
0.8100	8.9593	0.2625	0.0875
0.8200	8.9619	0.2456	0.0829
0.8300	8.9644	0.2297	0.0786
0.8400	8.9667	0.2149	0.0745
0.8500	8.9688	0.2011	0.0706
0.8600	8.9708	0.1881	0.0669
0.8700	8.9727	0.1760	0.0633
0.8800	8.9745	0.1646	0.0600
0.8900	8.9761	0.1540	0.0568
0.9000	8.9777	0.1441	0.0538
0.9100	8.9791	0.1348	0.0509
0.9200	8.9804	0.1261	0.0482
0.9300	8.9817	0.1180	0.0456
0.9400	8.9829	0.1104	0.0432
0.9500	8.9840	0.1033	0.0409
0.9600	8.9850	0.0966	0.0387
0.9700	8.9860	0.0904	0.0366
0.9800	8.9869	0.0845	0.0346
0.9900	8.9877	0.0791	0.0328
1.0000	8.9885	0.0740	0.0310

Case 5: Low R, High C (6V, 330Ω, 1000µF)
Time(s)	Voltage(V)	dV/dt(V/s)	Error(%)
0.0100	0.1818	17.6309	1.5228
0.0200	0.3581	17.0966	1.4994
0.0300	0.5291	16.5785	1.4762
0.0400	0.6949	16.0761	1.4533
0.0500	0.8556	15.5890	1.4306
0.0600	1.0115	15.1166	1.4082
0.0700	1.1627	14.6585	1.3860
0.0800	1.3093	14.2143	1.3640
0.0900	1.4514	13.7836	1.3423
0.1000	1.5893	13.3659	1.3209
0.1100	1.7229	12.9609	1.2997
0.1200	1.8525	12.5681	1.2787
0.1300	1.9782	12.1873	1.2580
0.1400	2.1001	11.8179	1.2375
0.1500	2.2183	11.4598	1.2173
0.1600	2.3329	11.1126	1.1973
0.1700	2.4440	10.7758	1.1775
0.1800	2.5517	10.4493	1.1580
0.1900	2.6562	10.1326	1.1387
0.2000	2.7576	9.8256	1.1196
0.2100	2.8558	9.5278	1.1008
0.2200	2.9511	9.2391	1.0823
0.2300	3.0435	8.9591	1.0639
0.2400	3.1331	8.6876	1.0458
0.2500	3.2200	8.4244	1.0279
0.2600	3.3042	8.1691	1.0103
0.2700	3.3859	7.9216	0.9929
0.2800	3.4651	7.6815	0.9757
0.2900	3.5419	7.4487	0.9587
0.3000	3.6164	7.2230	0.9420
0.3100	3.6886	7.0041	0.9254
0.3200	3.7587	6.7919	0.9092
0.3300	3.8266	6.5861	0.8931
0.3400	3.8925	6.3865	0.8772
0.3500	3.9563	6.1930	0.8616
0.3600	4.0183	6.0053	0.8462
0.3700	4.0783	5.8233	0.8310
0.3800	4.1365	5.6469	0.8160
0.3900	4.1930	5.4757	0.8012
0.4000	4.2478	5.3098	0.7867
0.4100	4.3009	5.1489	0.7723
0.4200	4.3524	4.9929	0.7582
0.4300	4.4023	4.8416	0.7443
0.4400	4.4507	4.6949	0.7305
0.4500	4.4976	4.5526	0.7170
0.4600	4.5432	4.4146	0.7037
0.4700	4.5873	4.2809	0.6905
0.4800	4.6301	4.1511	0.6776
0.4900	4.6716	4.0253	0.6649
0.5000	4.7119	3.9034	0.6523
0.5100	4.7509	3.7851	0.6400
0.5200	4.7888	3.6704	0.6278
0.5300	4.8255	3.5592	0.6159
0.5400	4.8611	3.4513	0.6041
0.5500	4.8956	3.3467	0.5925
0.5600	4.9290	3.2453	0.5811
0.5700	4.9615	3.1470	0.5699
0.5800	4.9930	3.0516	0.5588
0.5900	5.0235	2.9591	0.5480
0.6000	5.0531	2.8695	0.5373
0.6100	5.0818	2.7825	0.5267
0.6200	5.1096	2.6982	0.5164
0.6300	5.1366	2.6164	0.5062
0.6400	5.1627	2.5371	0.4962
0.6500	5.1881	2.4603	0.4864
0.6600	5.2127	2.3857	0.4767
0.6700	5.2366	2.3134	0.4672
0.6800	5.2597	2.2433	0.4578
0.6900	5.2821	2.1753	0.4486
0.7000	5.3039	2.1094	0.4396
0.7100	5.3250	2.0455	0.4307
0.7200	5.3454	1.9835	0.4220
0.7300	5.3653	1.9234	0.4134
0.7400	5.3845	1.8651	0.4050
0.7500	5.4032	1.8086	0.3967
0.7600	5.4213	1.7538	0.3886
0.7700	5.4388	1.7006	0.3806
0.7800	5.4558	1.6491	0.3727
0.7900	5.4723	1.5991	0.3650
0.8000	5.4883	1.5507	0.3575
0.8100	5.5038	1.5037	0.3500
0.8200	5.5188	1.4581	0.3427
0.8300	5.5334	1.4139	0.3356
0.8400	5.5475	1.3711	0.3285
0.8500	5.5613	1.3295	0.3216
0.8600	5.5745	1.2892	0.3149
0.8700	5.5874	1.2502	0.3082
0.8800	5.5999	1.2123	0.3017
0.8900	5.6121	1.1756	0.2953
0.9000	5.6238	1.1399	0.2890
0.9100	5.6352	1.1054	0.2828
0.9200	5.6463	1.0719	0.2768
0.9300	5.6570	1.0394	0.2708
0.9400	5.6674	1.0079	0.2650
0.9500	5.6775	0.9774	0.2593
0.9600	5.6872	0.9478	0.2537
0.9700	5.6967	0.9190	0.2482
0.9800	5.7059	0.8912	0.2428
0.9900	5.7148	0.8642	0.2375
1.0000	5.7235	0.8380	0.2324
